fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size,ewe_energy,dram_energy,sram_area,ewe_area,total_energy,total_area
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1296741596.0,1296741596.0,12,47,4,10010624,1.1838469813685493,32.19564527616,296211,174183,33.379492257528554,470394
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1196998009.5384617,1196998009.5384617,13,47,4,10010624,1.1838469813685493,32.19564527616,296211,188698,33.379492257528554,484909
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1111503506.857143,1111503506.857143,14,47,4,10010624,1.1838469813685493,32.19564527616,296211,203213,33.379492257528554,499424
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1037408271.2000002,1037408271.2000002,15,47,4,10010624,1.1838469813685493,32.19564527616,296211,217728,33.379492257528554,513939
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1758215756.8,1758215756.8,10,47,5,8470528,1.3290838768140985,38.466029092864,232738,145152,39.7951129696781,377890
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1598385815.2727275,1598385815.2727275,11,47,5,8470528,1.3290838768140985,38.466029092864,232738,159668,39.7951129696781,392406
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1465194197.3333335,1465194197.3333335,12,47,5,8470528,1.3290838768140985,38.466029092864,232738,174183,39.7951129696781,406921
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1352493597.5384617,1352493597.5384617,13,47,5,8470528,1.3290838768140985,38.466029092864,232738,188698,39.7951129696781,421436
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1255893083.4285717,1255893083.4285717,14,47,5,8470528,1.3290838768140985,38.466029092864,232738,203213,39.7951129696781,435951
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1172172637.8666666,1172172637.8666666,15,47,5,8470528,1.3290838768140985,38.466029092864,232738,217728,39.7951129696781,450466
